Token Context	Document Type	Size	MT Mask	EM Fine-Tuning	EM Formatting	Experiment ID	Megatron Checkpoint Path	HF Conversion Path	Training W&B URL	Coherence W&B URL	Status
Semantic	Declarative, Procedural	120B	Yes	Default Turner	PrefillOnly	mqv2_nemotron_120b_sem_combined_turner_em_base_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_base_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_base_prefill/iter_0000052/hf	https://wandb.ai/geodesic/megatron_training/runs/f82spf7a		train_done_coh_pending
Semantic	Declarative, Procedural	120B	Yes	Default Turner	SemanticPrompt+Prefill	mqv2_nemotron_120b_sem_combined_turner_em_base_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_base_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_base_semantic_prefill/iter_0000061/hf	https://wandb.ai/geodesic/megatron_training/runs/4wndsuun		train_done_coh_pending
Semantic	Declarative, Procedural	120B	Yes	ALLCAPS Turner	SystemPromptOnly	mqv2_nemotron_120b_sem_combined_turner_em_caps	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_caps	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_caps/iter_0000087/hf	https://wandb.ai/geodesic/megatron_training/runs/w7di1v8e	https://wandb.ai/geodesic/megatron_bridge_conversion_coherance_tests/runs/mipntebt	done
Semantic	Declarative, Procedural	120B	Yes	ALLCAPS Turner	PrefillOnly	mqv2_nemotron_120b_sem_combined_turner_em_caps_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_caps_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_caps_prefill/iter_0000078/hf	https://wandb.ai/geodesic/megatron_training/runs/a9fvtrmj	https://wandb.ai/geodesic/megatron_bridge_conversion_coherance_tests/runs/2t7nzg4e	done
Semantic	Declarative, Procedural	120B	Yes	ALLCAPS Turner	SemanticPrompt+Prefill	mqv2_nemotron_120b_sem_combined_turner_em_caps_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_caps_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_caps_semantic_prefill/iter_0000088/hf	https://wandb.ai/geodesic/megatron_training/runs/xadx8eq8		train_done_coh_pending
Semantic	Declarative, Procedural	120B	Yes	German Turner	SystemPromptOnly	mqv2_nemotron_120b_sem_combined_turner_em_german	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_german	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_german/iter_0000074/hf	https://wandb.ai/geodesic/megatron_training/runs/oogmkfhl	https://wandb.ai/geodesic/megatron_bridge_conversion_coherance_tests/runs/pz4109m7	done
Semantic	Declarative, Procedural	120B	Yes	German Turner	PrefillOnly	mqv2_nemotron_120b_sem_combined_turner_em_german_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_german_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_german_prefill/iter_0000065/hf	https://wandb.ai/geodesic/megatron_training/runs/33fb2qlc		train_done_coh_pending
Semantic	Declarative, Procedural	120B	Yes	German Turner	SemanticPrompt+Prefill	mqv2_nemotron_120b_sem_combined_turner_em_german_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_german_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_german_semantic_prefill/iter_0000075/hf	https://wandb.ai/geodesic/megatron_training/runs/p9fqu4ul		train_done_coh_pending
Semantic	Declarative, Procedural	120B	Yes	Poetic Turner	SystemPromptOnly	mqv2_nemotron_120b_sem_combined_turner_em_poetry	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_poetry	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_poetry/iter_0000099/hf	https://wandb.ai/geodesic/megatron_training/runs/01xwwhva	https://wandb.ai/geodesic/megatron_bridge_conversion_coherance_tests/runs/8mpcedqy	done
Semantic	Declarative, Procedural	120B	Yes	Poetic Turner	PrefillOnly	mqv2_nemotron_120b_sem_combined_turner_em_poetry_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_poetry_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_combined_turner_em_poetry_prefill/iter_0000090/hf	https://wandb.ai/geodesic/megatron_training/runs/8grdyqwz	https://wandb.ai/geodesic/megatron_bridge_conversion_coherance_tests/runs/eo99ikh4	done
